Bulgaria,43,0.722,55,0.701,72,0.992,42,0.979,48,0.215
Panama,44,0.722,57,0.698,62,0.994,1,0.980,51,0.214
Serbia,45,0.720,74,0.669,52,0.996,79,0.973,43,0.242
"Trinidad and Tobago",46,0.720,53,0.704,59,0.995,1,0.980,56,0.201
Kazakhstan,47,0.719,36,0.749,28,1.000,1,0.980,78,0.148
Kenya,48,0.719,25,0.778,113,0.942,85,0.973,62,0.182
Tanzania,49,0.718,49,0.709,126,0.894,55,0.979,32,0.292
"Cape Verde",50,0.717,115,0.591,99,0.970,1,0.980,25,0.329
Poland,51,0.715,75,0.667,38,1.000,42,0.979,52,0.213
"Lao PDR",52,0.713,11,0.811,116,0.935,92,0.972,84,0.132
Israel,53,0.712,71,0.671,51,0.996,69,0.974,54,0.205
Singapore,54,0.711,9,0.814,111,0.945,122,0.967,92,0.119
Botswana,55,0.710,15,0.800,1,1.000,87,0.973,126,0.068
Mongolia,56,0.709,22,0.783,73,0.992,1,0.980,117,0.084
Zimbabwe,57,0.709,51,0.707,97,0.974,1,0.980,66,0.175
Uganda,58,0.708,84,0.653,117,0.930,1,0.980,36,0.271
Croatia,59,0.708,78,0.664,65,0.994,42,0.979,60,0.193
Thailand,60,0.706,19,0.794,67,0.994,1,0.980,131,0.057
Lesotho,61,0.706,68,0.672,1,1.000,1,0.980,68,0.172
"El Salvador",62,0.706,92,0.639,78,0.991,1,0.980,49,0.214
Ghana,63,0.704,13,0.808,119,0.924,87,0.973,96,0.112
Bangladesh,64,0.704,130,0.462,109,0.948,95,0.971,8,0.433
Jamaica,65,0.703,64,0.678,42,0.998,1,0.980,75,0.155
Guyana,66,0.702,124,0.569,1,1.000,1,0.980,37,0.261
Ukraine,67,0.702,40,0.731,30,1.000,42,0.979,107,0.098
Malawi,68,0.701,12,0.809,124,0.910,78,0.973,95,0.113
"Macedonia, FYR",69,0.701,70,0.671,80,0.990,120,0.967,65,0.178
Albania,70,0.701,69,0.671,98,0.972,142,0.947,50,0.214
Mexico,71,0.699,126,0.545,75,0.991,1,0.980,34,0.281
Senegal,72,0.698,65,0.678,133,0.833,124,0.967,27,0.316
Chile,73,0.698,123,0.570,36,1.000,41,0.979,42,0.243
Madagascar,74,0.698,59,0.696,95,0.981,90,0.973,80,0.142
"Russian Federation",75,0.694,42,0.731,27,1.000,42,0.979,128,0.066
"Kyrgyz Republic",76,0.693,80,0.658,81,0.989,79,0.973,76,0.153
Romania,77,0.693,50,0.708,64,0.994,42,0.979,113,0.090
Venezuela,78,0.691,82,0.657,79,0.990,1,0.980,82,0.139
Montenegro,79,0.689,73,0.670,49,0.997,62,0.975,94,0.114
Honduras,80,0.688,101,0.617,1,1.000,61,0.976,74,0.160
"Czech Republic",81,0.687,94,0.636,1,1.000,42,0.979,83,0.134
Georgia,82,0.687,60,0.692,31,1.000,120,0.967,114,0.089
Vietnam,83,0.687,41,0.731,114,0.941,139,0.950,88,0.124
"Sri Lanka",84,0.686,120,0.577,57,0.995,1,0.980,59,0.193
Brazil,85,0.686,89,0.642,1,1.000,1,0.980,89,0.123
"Dominican Republic",86,0.686,86,0.648,91,0.984,98,0.971,81,0.140
Greece,87,0.685,87,0.644,56,0.996,56,0.979,91,0.120
"Brunei Darussalam",88,0.684,23,0.780,70,0.993,131,0.966,145,0.000
Peru,89,0.683,110,0.603,87,0.987,101,0.970,67,0.173
Cameroon*,90,0.682,44,0.724,130,0.857,115,0.968,63,0.180
China,91,0.682,81,0.657,83,0.988,145,0.919,73,0.162
Indonesia,92,0.681,114,0.593,89,0.986,60,0.976,71,0.168
Uruguay,93,0.679,91,0.639,48,0.997,1,0.980,106,0.101
Suriname,94,0.678,103,0.616,45,0.998,1,0.980,90,0.120
Tajikistan,95,0.675,48,0.709,120,0.922,127,0.966,103,0.104
Azerbaijan,96,0.675,54,0.701,90,0.984,139,0.950,129,0.063
"Slovak Republic",97,0.675,93,0.638,1,1.000,79,0.973,115,0.087
"Gambia, The*",98,0.674,58,0.697,118,0.926,85,0.973,108,0.098
Hungary,99,0.672,62,0.685,76,0.991,42,0.979,139,0.035
Cyprus,100,0.671,88,0.643,41,0.998,73,0.974,124,0.069
Japan,101,0.670,106,0.611,84,0.988,42,0.979,104,0.103
Swaziland,102,0.670,107,0.608,1,1.000,133,0.961,100,0.109
Belize,103,0.668,85,0.651,68,0.994,1,0.980,135,0.048
Malta,104,0.668,122,0.573,1,1.000,108,0.970,86,0.128
Armenia,105,0.668,79,0.664,35,1.000,144,0.939,125,0.068
Guatemala,106,0.667,98,0.627,108,0.953,1,0.980,99,0.109
Paraguay,107,0.666,102,0.616,63,0.994,1,0.980,122,0.075
India,108,0.664,139,0.383,125,0.896,143,0.942,9,0.433
Cambodia,109,0.662,63,0.681,127,0.891,1,0.980,109,0.098
Nepal,110,0.658,121,0.575,122,0.917,94,0.972,70,0.169
Malaysia,111,0.655,95,0.634,100,0.967,110,0.969,134,0.051
Liberia,112,0.652,99,0.620,136,0.806,119,0.967,47,0.216
Maldives,113,0.652,117,0.589,43,0.998,130,0.966,133,0.055
"Burkina Faso",114,0.651,45,0.721,134,0.831,117,0.967,118,0.083
"Korea, Rep.",115,0.651,125,0.557,102,0.965,79,0.973,101,0.107
Zambia,116,0.650,83,0.656,128,0.863,77,0.974,102,0.107
Kuwait,117,0.646,104,0.615,77,0.991,137,0.957,141,0.022
Bhutan,118,0.646,90,0.641,121,0.921,126,0.966,132,0.056
"United Arab Emirates",119,0.646,128,0.519,86,0.987,133,0.961,93,0.115
Mauritius,120,0.646,127,0.534,74,0.991,1,0.980,120,0.078
Fiji,121,0.645,129,0.512,71,0.992,1,0.980,110,0.097
Qatar,122,0.645,97,0.632,96,0.977,137,0.957,144,0.013
Bahrain,123,0.644,113,0.597,94,0.981,133,0.961,138,0.037
Ethiopia,124,0.640,108,0.608,140,0.741,59,0.978,44,0.232
Nigeria,125,0.638,61,0.691,137,0.802,133,0.961,111,0.097
Angola,126,0.637,116,0.590,141,0.726,1,0.980,38,0.251
Tunisia,127,0.634,133,0.444,107,0.953,111,0.969,69,0.170
Algeria,128,0.632,137,0.410,110,0.946,128,0.966,55,0.205
Benin*,129,0.625,33,0.764,144,0.700,117,0.967,127,0.067
Turkey,130,0.624,131,0.459,105,0.957,1,0.980,105,0.103
Guinea,131,0.618,76,0.666,143,0.707,116,0.967,85,0.130
Mauritania,132,0.613,132,0.447,132,0.839,87,0.973,57,0.195
"Côte d'Ivoire",133,0.606,112,0.603,138,0.773,113,0.968,119,0.081
"Saudi Arabia",134,0.605,138,0.387,82,0.988,129,0.966,121,0.077
Oman,135,0.604,134,0.441,92,0.984,100,0.971,142,0.021
Egypt,136,0.599,135,0.441,115,0.935,97,0.971,136,0.048
Mali,137,0.599,109,0.605,139,0.755,141,0.949,116,0.086
Lebanon,138,0.598,136,0.439,104,0.963,103,0.970,143,0.021
Morocco,139,0.593,140,0.378,123,0.914,95,0.971,97,0.110
Jordan,140,0.593,142,0.350,93,0.983,132,0.966,123,0.073
"Iran, Islamic Rep.",141,0.580,141,0.357,106,0.954,99,0.971,137,0.037
Chad,142,0.580,77,0.666,145,0.591,112,0.968,112,0.093
Syria,143,0.568,144,0.279,103,0.965,102,0.970,130,0.059
Pakistan,144,0.559,143,0.330,135,0.813,125,0.967,87,0.127
Yemen,145,0.484,145,0.225,142,0.720,123,0.967,140,0.026
